domain,source,reference,model_output,rating_out_of_5(Anubhav)
education,"Generate all the children of the parent node. And of course, once it's done, it starts with the leftmost child and then works on all its children, so on.","पैरेंट नोड के सभी चिल्ड्रेन जनरेट कीजिए।  और जाहिर है, एक बार यह होने के बाद, यह सबसे बाएं वाले चाइल्ड से शुरू होता है और फिर उसके सभी चिल्ड्रेन पर काम होता है, इसी तरह क्रम आगे बढ़ता है।
","माता-पिता नोड के सभी बच्चों को जनरेट करें। और当然, एक बार यह हो जाता है, तो यह सबसे बाएं बच्चे से शुरू होता है और फिर उसके सभी बच्चों पर काम करता है, और इसी तरह।
",2
education,"Generate all the children of the parent node. And of course, once it's done, it starts with the leftmost child and then works on all its children, so on.","पैरेंट नोड के सभी चिल्ड्रेन जनरेट कीजिए।  और जाहिर है, एक बार यह होने के बाद, यह सबसे बाएं वाले चाइल्ड से शुरू होता है और फिर उसके सभी चिल्ड्रेन पर काम होता है, इसी तरह क्रम आगे बढ़ता है।
","माता-पिता नोड के सभी बच्चों को उत्पन्न करें। और निश्चित रूप से, एक बार यह किया जाता है, यह सबसे बाएं बच्चे के साथ शुरू होता है और फिर अपने सभी बच्चों पर काम करता है, इतने पर।
",2
education,"Generate all the children of the parent node. And of course, once it's done, it starts with the leftmost child and then works on all its children, so on.","पैरेंट नोड के सभी चिल्ड्रेन जनरेट कीजिए।  और जाहिर है, एक बार यह होने के बाद, यह सबसे बाएं वाले चाइल्ड से शुरू होता है और फिर उसके सभी चिल्ड्रेन पर काम होता है, इसी तरह क्रम आगे बढ़ता है।
","माता-पिता नोड के सभी बच्चों को उत्पन्न करें। और हां, एक बार यह हो जाने के बाद, यह सबसे बाएं बच्चे से शुरू होता है और फिर अपने सभी बच्चों पर काम करता है, इसी तरह।
",2
education,"Generate all the children of the parent node. And of course, once it's done, it starts with the leftmost child and then works on all its children, so on.","पैरेंट नोड के सभी चिल्ड्रेन जनरेट कीजिए।  और जाहिर है, एक बार यह होने के बाद, यह सबसे बाएं वाले चाइल्ड से शुरू होता है और फिर उसके सभी चिल्ड्रेन पर काम होता है, इसी तरह क्रम आगे बढ़ता है।
","पैरेंट नोड के सभी बच्चों को जनरेट करें। और हां, एक बार जब यह हो जाता है, तो यह सबसे बाएं बच्चे से शुरू होता है और फिर उसके सभी बच्चों पर काम करता है, और इसी तरह आगे भी।
",3
education,"Generate all the children of the parent node. And of course, once it's done, it starts with the leftmost child and then works on all its children, so on.","पैरेंट नोड के सभी चिल्ड्रेन जनरेट कीजिए।  और जाहिर है, एक बार यह होने के बाद, यह सबसे बाएं वाले चाइल्ड से शुरू होता है और फिर उसके सभी चिल्ड्रेन पर काम होता है, इसी तरह क्रम आगे बढ़ता है।
","माता-पिता नोड के सभी बच्चों को उत्पन्न करें ।  और हां, एक बार यह हो जाने के बाद, यह बाएं बच्चे से शुरू होता है और फिर अपने सभी बच्चों पर काम करता है, इसी तरह ।
",2
education,"Generate all the children of the parent node. And of course, once it's done, it starts with the leftmost child and then works on all its children, so on.","पैरेंट नोड के सभी चिल्ड्रेन जनरेट कीजिए।  और जाहिर है, एक बार यह होने के बाद, यह सबसे बाएं वाले चाइल्ड से शुरू होता है और फिर उसके सभी चिल्ड्रेन पर काम होता है, इसी तरह क्रम आगे बढ़ता है।
","पैरेंट नोड के सभी बच्चों को जनरेट करें। और हां, एक बार जब यह हो जाता है, तो यह सबसे बाएं बच्चे से शुरू होता है और फिर उसके सभी बच्चों पर काम करता है, और इसी तरह आगे भी।
",3
education,"Generate all the children of the parent node. And of course, once it's done, it starts with the leftmost child and then works on all its children, so on.","पैरेंट नोड के सभी चिल्ड्रेन जनरेट कीजिए।  और जाहिर है, एक बार यह होने के बाद, यह सबसे बाएं वाले चाइल्ड से शुरू होता है और फिर उसके सभी चिल्ड्रेन पर काम होता है, इसी तरह क्रम आगे बढ़ता है।
","पैरेंट नोड के सभी बच्चों को जनरेट करें।  और जब यह हो जाता है, तो यह बाएं से सबसे छोटे बच्चे से शुरू करता है और फिर उसके सभी बच्चों पर काम करता है, इसी तरह आगे भी चलता रहता है।
",4
education,"Generate all the children of the parent node. And of course, once it's done, it starts with the leftmost child and then works on all its children, so on.","पैरेंट नोड के सभी चिल्ड्रेन जनरेट कीजिए।  और जाहिर है, एक बार यह होने के बाद, यह सबसे बाएं वाले चाइल्ड से शुरू होता है और फिर उसके सभी चिल्ड्रेन पर काम होता है, इसी तरह क्रम आगे बढ़ता है।
","माता-पिता नोड के सभी बच्चों को उत्पन्न करें। और हां, एक बार यह हो जाने के बाद, यह सबसे बाएं बच्चे से शुरू होता है और फिर अपने सभी बच्चों पर काम करता है, इसी तरह।
",3
general,"Apart from his scientific interests he was acquainted with Tagore 's work, with French and German literature and music.","अपनी रुचि के वैज्ञानिक विषयों के अतिरिक्त वे टैगोर की पुस्तकों, फ्रांसीसी एवं जर्मन साहित्य तथा संगीत से भी परिचित थे। 
","उनकी वैज्ञानिक रुचियों के अलावा वे टैगोर के काम, फ्रेंच और जर्मन साहित्य और संगीत से परिचित थे।
",3
general,"Apart from his scientific interests he was acquainted with Tagore 's work, with French and German literature and music.","अपनी रुचि के वैज्ञानिक विषयों के अतिरिक्त वे टैगोर की पुस्तकों, फ्रांसीसी एवं जर्मन साहित्य तथा संगीत से भी परिचित थे। 
","अपने वैज्ञानिक रुचियों के अलावा, वे टैगोर के कार्य से, और फ्रांसीसी तथा जर्मन साहित्य और संगीत से परिचित थे।
",4
general,"Apart from his scientific interests he was acquainted with Tagore 's work, with French and German literature and music.","अपनी रुचि के वैज्ञानिक विषयों के अतिरिक्त वे टैगोर की पुस्तकों, फ्रांसीसी एवं जर्मन साहित्य तथा संगीत से भी परिचित थे। 
","विज्ञान के अलावा, उनकी रुचियों में रबीन्द्रनाथ टैगोर का काम, फ़्रेंच और जर्मन साहित्य और संगीत भी शामिल थे।
",4
general,"Apart from his scientific interests he was acquainted with Tagore 's work, with French and German literature and music.","अपनी रुचि के वैज्ञानिक विषयों के अतिरिक्त वे टैगोर की पुस्तकों, फ्रांसीसी एवं जर्मन साहित्य तथा संगीत से भी परिचित थे। 
","अफगानिस्‍तान अपनी वैज्ञानिक सलाह चार दिन की अंदर यात्रा के दौरान ये केंद्र, भारत की बौद्ध और रणनीतिक यात्रा और संवेदकता की यात्रा पर जाएंगे।
",2
general,"Apart from his scientific interests he was acquainted with Tagore 's work, with French and German literature and music.","अपनी रुचि के वैज्ञानिक विषयों के अतिरिक्त वे टैगोर की पुस्तकों, फ्रांसीसी एवं जर्मन साहित्य तथा संगीत से भी परिचित थे। 
","विज्ञान के क्षेत्र के अलावा उन्हें टैगोर के काम, फ्रेंच और जर्मन साहित्य और संगीत के साथ परिचित था।
",2
general,"Apart from his scientific interests he was acquainted with Tagore 's work, with French and German literature and music.","अपनी रुचि के वैज्ञानिक विषयों के अतिरिक्त वे टैगोर की पुस्तकों, फ्रांसीसी एवं जर्मन साहित्य तथा संगीत से भी परिचित थे। 
","इसके अलावा उन्हें टैगोर के काम से, फ्रेंच और जर्मन साहित्य और संगीत में रुचि थी।
",1
general,"Apart from his scientific interests he was acquainted with Tagore 's work, with French and German literature and music.","अपनी रुचि के वैज्ञानिक विषयों के अतिरिक्त वे टैगोर की पुस्तकों, फ्रांसीसी एवं जर्मन साहित्य तथा संगीत से भी परिचित थे। 
","उनके वैज्ञानिक रुचियों के अलावा उन्हें टैगोर के कार्य, फ्रेंच और जर्मन साहित्य और संगीत से परिचित था।
",2
general,"Apart from his scientific interests he was acquainted with Tagore 's work, with French and German literature and music.","अपनी रुचि के वैज्ञानिक विषयों के अतिरिक्त वे टैगोर की पुस्तकों, फ्रांसीसी एवं जर्मन साहित्य तथा संगीत से भी परिचित थे। 
","अपनी वैज्ञानिक रुचियों के अलावा, वह तागोर के काम, फ्रेंच और जर्मन साहित्य और संगीत से परिचित थे।
",3
general,"Apart from his scientific interests he was acquainted with Tagore 's work, with French and German literature and music.","अपनी रुचि के वैज्ञानिक विषयों के अतिरिक्त वे टैगोर की पुस्तकों, फ्रांसीसी एवं जर्मन साहित्य तथा संगीत से भी परिचित थे। 
","वैज्ञानिक हितों के अलावा, वह टैगोर के कार्य, फ्रेंच और जर्मन साहित्य और संगीत से परिचित थे।
",2
general,"Apart from his scientific interests he was acquainted with Tagore 's work, with French and German literature and music.","अपनी रुचि के वैज्ञानिक विषयों के अतिरिक्त वे टैगोर की पुस्तकों, फ्रांसीसी एवं जर्मन साहित्य तथा संगीत से भी परिचित थे। 
","अपने वैज्ञानिक हितों के अलावा वे टैगोर के काम, फ्रेंच और जर्मन साहित्य और संगीत से परिचित थे।
",4
general,"Apart from his scientific interests he was acquainted with Tagore 's work, with French and German literature and music.","अपनी रुचि के वैज्ञानिक विषयों के अतिरिक्त वे टैगोर की पुस्तकों, फ्रांसीसी एवं जर्मन साहित्य तथा संगीत से भी परिचित थे। 
","अपनी वैज्ञानिक रुचियों के अलावा वे टैगोर के काम, फ्रेंच और जर्मन साहित्य और संगीत से भी परिचित थे।
",5
general,"Apart from his scientific interests he was acquainted with Tagore 's work, with French and German literature and music.","अपनी रुचि के वैज्ञानिक विषयों के अतिरिक्त वे टैगोर की पुस्तकों, फ्रांसीसी एवं जर्मन साहित्य तथा संगीत से भी परिचित थे। 
","अपनी वैज्ञानिक रुचियों के अलावा वे टैगोर के कार्यों, फ्रेंच और जर्मन साहित्य और संगीत से भी परिचित थे।
",5
general,"Apart from his scientific interests he was acquainted with Tagore 's work, with French and German literature and music.","अपनी रुचि के वैज्ञानिक विषयों के अतिरिक्त वे टैगोर की पुस्तकों, फ्रांसीसी एवं जर्मन साहित्य तथा संगीत से भी परिचित थे। 
","अपने वैज्ञानिक हितों के अलावा वे रवीन्द्रनाथ की रचनाओं, फ्रेंच और जर्मन साहित्य और संगीत से भी परिचित थे ।
",5
general,"Apart from his scientific interests he was acquainted with Tagore 's work, with French and German literature and music.","अपनी रुचि के वैज्ञानिक विषयों के अतिरिक्त वे टैगोर की पुस्तकों, फ्रांसीसी एवं जर्मन साहित्य तथा संगीत से भी परिचित थे। 
","अपनी वैज्ञानिक रुचियों के अलावा वे टैगोर के कार्यों, फ्रेंच और जर्मन साहित्य और संगीत से भी परिचित थे।
",5
general,"Apart from his scientific interests he was acquainted with Tagore 's work, with French and German literature and music.","अपनी रुचि के वैज्ञानिक विषयों के अतिरिक्त वे टैगोर की पुस्तकों, फ्रांसीसी एवं जर्मन साहित्य तथा संगीत से भी परिचित थे। 
","अपने वैज्ञानिक हितों के अलावा वे टैगोर के काम, फ्रांसीसी और जर्मन साहित्य और संगीत से परिचित थे.
",5
general,"Apart from his scientific interests he was acquainted with Tagore 's work, with French and German literature and music.","अपनी रुचि के वैज्ञानिक विषयों के अतिरिक्त वे टैगोर की पुस्तकों, फ्रांसीसी एवं जर्मन साहित्य तथा संगीत से भी परिचित थे। 
","अपनी वैज्ञानिक रुचियों के अलावा वे टैगोर के काम, फ्रेंच और जर्मन साहित्य और संगीत से भी परिचित थे।
",5
general,Important issues concerning the Jati and serious disputes are taken up for consideration in these bodies.,"जाति संबंधी महत्वपूर्ण मुद्दे तथा गंभीर विवादों पर इन्हीं निकायों में विचार होता है।
","जाति से संबंधित महत्वपूर्ण मुद्दों और गंभीर विवादों पर इन संस्थाओं में विचार किया जाता है।
",4
general,Important issues concerning the Jati and serious disputes are taken up for consideration in these bodies.,"जाति संबंधी महत्वपूर्ण मुद्दे तथा गंभीर विवादों पर इन्हीं निकायों में विचार होता है।
","जाति से संबंधित महत्वपूर्ण मुद्दों और गंभीर विवादों को इन निकायों में विचार के लिए उठाया जाता है।
",5
general,Important issues concerning the Jati and serious disputes are taken up for consideration in these bodies.,"जाति संबंधी महत्वपूर्ण मुद्दे तथा गंभीर विवादों पर इन्हीं निकायों में विचार होता है।
","इन निकायों में जाति से जुड़े महत्वपूर्ण मुद्दों और गंभीर विवादों पर विचार किया जाता है।
",5
general,Important issues concerning the Jati and serious disputes are taken up for consideration in these bodies.,"जाति संबंधी महत्वपूर्ण मुद्दे तथा गंभीर विवादों पर इन्हीं निकायों में विचार होता है।
","पारंपरिक रूप से भी भूखल और व्‍यक्तिगत मुद्दे के समाधान का फैसला मौजूदा निकायों को किया जाएगा।
",1
general,Important issues concerning the Jati and serious disputes are taken up for consideration in these bodies.,"जाति संबंधी महत्वपूर्ण मुद्दे तथा गंभीर विवादों पर इन्हीं निकायों में विचार होता है।
","जाति के संबंध में महत्वपूर्ण मुद्दों और गंभीर विवादों को इन संगठनों में विचार के लिए लिया जाता है।
",5
general,Important issues concerning the Jati and serious disputes are taken up for consideration in these bodies.,"जाति संबंधी महत्वपूर्ण मुद्दे तथा गंभीर विवादों पर इन्हीं निकायों में विचार होता है।
","जाति से संबंधित महत्वपूर्ण मुद्दों और गंभीर विवादों पर इन संस्थाओं में विचार किया जाता है।
",5
general,Important issues concerning the Jati and serious disputes are taken up for consideration in these bodies.,"जाति संबंधी महत्वपूर्ण मुद्दे तथा गंभीर विवादों पर इन्हीं निकायों में विचार होता है।
","जाति से संबंधित महत्वपूर्ण मुद्दों और गंभीर विवादों पर इन निकायों में विचार किया जाता है।
",4
general,Important issues concerning the Jati and serious disputes are taken up for consideration in these bodies.,"जाति संबंधी महत्वपूर्ण मुद्दे तथा गंभीर विवादों पर इन्हीं निकायों में विचार होता है।
","इन निकायों में जाति से संबंधित महत्वपूर्ण मुद्दों और गंभीर विवादों पर विचार किया जाता है।
",5
general,Important issues concerning the Jati and serious disputes are taken up for consideration in these bodies.,"जाति संबंधी महत्वपूर्ण मुद्दे तथा गंभीर विवादों पर इन्हीं निकायों में विचार होता है।
","इन निकायों में जाति से संबंधित महत्वपूर्ण मुद्दे और गंभीर विवादों पर विचार किया जाता है।
",4
general,Important issues concerning the Jati and serious disputes are taken up for consideration in these bodies.,"जाति संबंधी महत्वपूर्ण मुद्दे तथा गंभीर विवादों पर इन्हीं निकायों में विचार होता है।
","जाति से संबंधित महत्वपूर्ण मुद्दों और गंभीर विवादों को इन निकायों में विचार के लिए लिया जाता है।
",5
general,Important issues concerning the Jati and serious disputes are taken up for consideration in these bodies.,"जाति संबंधी महत्वपूर्ण मुद्दे तथा गंभीर विवादों पर इन्हीं निकायों में विचार होता है।
","इन निकायों में जाति से संबंधित महत्वपूर्ण मुद्दों और गंभीर विवादों पर विचार किया जाता है।
",5
general,Important issues concerning the Jati and serious disputes are taken up for consideration in these bodies.,"जाति संबंधी महत्वपूर्ण मुद्दे तथा गंभीर विवादों पर इन्हीं निकायों में विचार होता है।
","इन निकायों में जाति से संबंधित महत्वपूर्ण मुद्दों और गंभीर विवादों पर विचार किया जाता है।
",5
general,Important issues concerning the Jati and serious disputes are taken up for consideration in these bodies.,"जाति संबंधी महत्वपूर्ण मुद्दे तथा गंभीर विवादों पर इन्हीं निकायों में विचार होता है।
","जाति से संबंधित महत्वपूर्ण मुद्दों और गंभीर विवादों को इन निकायों में विचार के लिए लिया जाता है ।
",5
general,Important issues concerning the Jati and serious disputes are taken up for consideration in these bodies.,"जाति संबंधी महत्वपूर्ण मुद्दे तथा गंभीर विवादों पर इन्हीं निकायों में विचार होता है।
","इन निकायों में जाति से संबंधित महत्वपूर्ण मुद्दों और गंभीर विवादों पर विचार किया जाता है।
",5
general,Important issues concerning the Jati and serious disputes are taken up for consideration in these bodies.,"जाति संबंधी महत्वपूर्ण मुद्दे तथा गंभीर विवादों पर इन्हीं निकायों में विचार होता है।
","जाति से संबंधित महत्वपूर्ण मुद्दों और गंभीर विवादों को इन निकायों में विचार के लिए उठाया जाता है।
",5
general,Important issues concerning the Jati and serious disputes are taken up for consideration in these bodies.,"जाति संबंधी महत्वपूर्ण मुद्दे तथा गंभीर विवादों पर इन्हीं निकायों में विचार होता है।
","इन निकायों में जाति से संबंधित महत्वपूर्ण मुद्दों और गंभीर विवादों पर विचार किया जाता है।
",5
general,"And Abraham charged his sons with this and Jacob likewise: 'My sons, God has chosen for you the religion; see that you die not save in surrender.'","और इसी की वसीयत इबराहीम ने अपने बेटों को की और याक़ूब ने भी (अपनी सन्तानों को की) कि, ""ऐ मेरे बेटों! अल्लाह ने तुम्हारे लिए यही दीन (धर्म) चुना है, तो इस्लाम (ईश-आज्ञापालन) को अतिरिक्त किसी और दशा में तुम्हारी मृत्यु न हो।"" 
","और इब्राहीम ने अपने बेटों को ऐसा ही कहा, और याक़ूब ने भी ऐसा ही किया: 'मेरे बेटों, अल्लाह ने तुम्हारे लिए धर्म चुना है; इसलिए ध्यान रहे कि तुम इस्लाम के सिवा किसी और धर्म के साथ न मृत्यु को प्राप्त करो।'
",3
general,"And Abraham charged his sons with this and Jacob likewise: 'My sons, God has chosen for you the religion; see that you die not save in surrender.'","और इसी की वसीयत इबराहीम ने अपने बेटों को की और याक़ूब ने भी (अपनी सन्तानों को की) कि, ""ऐ मेरे बेटों! अल्लाह ने तुम्हारे लिए यही दीन (धर्म) चुना है, तो इस्लाम (ईश-आज्ञापालन) को अतिरिक्त किसी और दशा में तुम्हारी मृत्यु न हो।"" 
","और अब्राहम ने अपने पुत्रों को यह आदेश दिया और याकूब ने भी ऐसा ही किया: 'मेरे पुत्रों, ईश्वर ने तुम्हारे लिए धर्म चुना है; ध्यान रखो कि तुम समर्पण के अलावा किसी और स्थिति में न मरो।'
",2
general,"And Abraham charged his sons with this and Jacob likewise: 'My sons, God has chosen for you the religion; see that you die not save in surrender.'","और इसी की वसीयत इबराहीम ने अपने बेटों को की और याक़ूब ने भी (अपनी सन्तानों को की) कि, ""ऐ मेरे बेटों! अल्लाह ने तुम्हारे लिए यही दीन (धर्म) चुना है, तो इस्लाम (ईश-आज्ञापालन) को अतिरिक्त किसी और दशा में तुम्हारी मृत्यु न हो।"" 
","और इसी तरह इबराहीम और याकूब ने अपने बेटों को नसीहत दी थी: 'बेटों, अल्लाह ने तुम्हारे लिए इस्लाम धर्म चुना है; सुनिश्चित करो कि तुम समर्पण के सिवा कुछ न बनकर न मरो।'
",2
general,"And Abraham charged his sons with this and Jacob likewise: 'My sons, God has chosen for you the religion; see that you die not save in surrender.'","और इसी की वसीयत इबराहीम ने अपने बेटों को की और याक़ूब ने भी (अपनी सन्तानों को की) कि, ""ऐ मेरे बेटों! अल्लाह ने तुम्हारे लिए यही दीन (धर्म) चुना है, तो इस्लाम (ईश-आज्ञापालन) को अतिरिक्त किसी और दशा में तुम्हारी मृत्यु न हो।"" 
","वे चिलानूनी अपनी सफलताओं वाले बीच और जैकब जैसे कि:
",1
general,"And Abraham charged his sons with this and Jacob likewise: 'My sons, God has chosen for you the religion; see that you die not save in surrender.'","और इसी की वसीयत इबराहीम ने अपने बेटों को की और याक़ूब ने भी (अपनी सन्तानों को की) कि, ""ऐ मेरे बेटों! अल्लाह ने तुम्हारे लिए यही दीन (धर्म) चुना है, तो इस्लाम (ईश-आज्ञापालन) को अतिरिक्त किसी और दशा में तुम्हारी मृत्यु न हो।"" 
","और इब्राहीम ने इसे अपने पुत्रों को सौंपा और याकूब ने भी ऐसा ही किया: 'मेरे पुत्रों, ईश्वर ने तुम्हें धर्म चुनकर दिया है; ध्यान देना कि तुम आत्मसमर्पण के अलावा किसी और चीज में मरो नहीं।'
",1
general,"And Abraham charged his sons with this and Jacob likewise: 'My sons, God has chosen for you the religion; see that you die not save in surrender.'","और इसी की वसीयत इबराहीम ने अपने बेटों को की और याक़ूब ने भी (अपनी सन्तानों को की) कि, ""ऐ मेरे बेटों! अल्लाह ने तुम्हारे लिए यही दीन (धर्म) चुना है, तो इस्लाम (ईश-आज्ञापालन) को अतिरिक्त किसी और दशा में तुम्हारी मृत्यु न हो।"" 
","और अब्राहम ने अपने पुत्रों को यह चेतावनी दी और जैकब ने भी: ""पुत्रों मेरे देवता ने आपके लिए धर्म का चुनाव किया है; देखिए कि आप समर्पण के अलावा और किसी कारण से न मर जाइए।""
",3
general,"And Abraham charged his sons with this and Jacob likewise: 'My sons, God has chosen for you the religion; see that you die not save in surrender.'","और इसी की वसीयत इबराहीम ने अपने बेटों को की और याक़ूब ने भी (अपनी सन्तानों को की) कि, ""ऐ मेरे बेटों! अल्लाह ने तुम्हारे लिए यही दीन (धर्म) चुना है, तो इस्लाम (ईश-आज्ञापालन) को अतिरिक्त किसी और दशा में तुम्हारी मृत्यु न हो।"" 
","और अब्राहम ने अपने पुत्रों को इस बात के लिए जिम्मेदार ठहराया और जैकब ने भी ऐसा ही किया: 'पुत्रों, ईश्वर ने आपके लिए धर्म का चुनाव
",1
general,"And Abraham charged his sons with this and Jacob likewise: 'My sons, God has chosen for you the religion; see that you die not save in surrender.'","और इसी की वसीयत इबराहीम ने अपने बेटों को की और याक़ूब ने भी (अपनी सन्तानों को की) कि, ""ऐ मेरे बेटों! अल्लाह ने तुम्हारे लिए यही दीन (धर्म) चुना है, तो इस्लाम (ईश-आज्ञापालन) को अतिरिक्त किसी और दशा में तुम्हारी मृत्यु न हो।"" 
","और अब्राहम ने अपने पुत्रों को यही निर्देश दिया और याकूब ने भी ऐसा ही किया: 'मेरे पुत्रों, ईश्वर ने तुम्हारे लिए धर्म चुना है; देखो कि तुम मरो नहीं, सिवाय इसके कि तुम समर्पण करो।'
",4
general,"And Abraham charged his sons with this and Jacob likewise: 'My sons, God has chosen for you the religion; see that you die not save in surrender.'","और इसी की वसीयत इबराहीम ने अपने बेटों को की और याक़ूब ने भी (अपनी सन्तानों को की) कि, ""ऐ मेरे बेटों! अल्लाह ने तुम्हारे लिए यही दीन (धर्म) चुना है, तो इस्लाम (ईश-आज्ञापालन) को अतिरिक्त किसी और दशा में तुम्हारी मृत्यु न हो।"" 
","और इब्राहिम ने अपने पुत्रों को यह आदेश दिया और याकूब ने भी ऐसा ही किया: 'मेरे पुत्रों, ईश्वर ने आपके लिए धर्म चुना है; देखो कि आप मरते समय आत्मसमर्पण की अवस्था में ही मरें।'
",3
general,"And Abraham charged his sons with this and Jacob likewise: 'My sons, God has chosen for you the religion; see that you die not save in surrender.'","और इसी की वसीयत इबराहीम ने अपने बेटों को की और याक़ूब ने भी (अपनी सन्तानों को की) कि, ""ऐ मेरे बेटों! अल्लाह ने तुम्हारे लिए यही दीन (धर्म) चुना है, तो इस्लाम (ईश-आज्ञापालन) को अतिरिक्त किसी और दशा में तुम्हारी मृत्यु न हो।"" 
","और इबराहीम ने अपने बेटों को और याकूब को यह आदेश दिया कि ऐ मेरे बेटे, ख़ुदा ने तुम्हारे लिए धर्म (धर्म) को चुन लिया है, तो देखो कि तुम सिवाय इबराहीम के मरने के बग़ैर (मृत्यु) के।
",2
general,"And Abraham charged his sons with this and Jacob likewise: 'My sons, God has chosen for you the religion; see that you die not save in surrender.'","और इसी की वसीयत इबराहीम ने अपने बेटों को की और याक़ूब ने भी (अपनी सन्तानों को की) कि, ""ऐ मेरे बेटों! अल्लाह ने तुम्हारे लिए यही दीन (धर्म) चुना है, तो इस्लाम (ईश-आज्ञापालन) को अतिरिक्त किसी और दशा में तुम्हारी मृत्यु न हो।"" 
","और इब्राहीम ने अपने पुत्रों को यह आज्ञा दी और याकूब ने भी ऐसा ही कहा: 'मेरे पुत्रों, परमेश्वर ने तुम्हारे लिये धर्म चुना है; देखो कि तुम समर्पण में नहीं मरोगे।
",2
general,"And Abraham charged his sons with this and Jacob likewise: 'My sons, God has chosen for you the religion; see that you die not save in surrender.'","और इसी की वसीयत इबराहीम ने अपने बेटों को की और याक़ूब ने भी (अपनी सन्तानों को की) कि, ""ऐ मेरे बेटों! अल्लाह ने तुम्हारे लिए यही दीन (धर्म) चुना है, तो इस्लाम (ईश-आज्ञापालन) को अतिरिक्त किसी और दशा में तुम्हारी मृत्यु न हो।"" 
","और अब्राहम ने अपने पुत्रों को यही आज्ञा दी और याकूब ने भी यही कहा: &#39;हे मेरे पुत्रों, परमेश्वर ने तुम्हारे लिये धर्म को चुना है; देखो कि तुम समर्पण के बिना न मरो।&#39;
",2
general,"And Abraham charged his sons with this and Jacob likewise: 'My sons, God has chosen for you the religion; see that you die not save in surrender.'","और इसी की वसीयत इबराहीम ने अपने बेटों को की और याक़ूब ने भी (अपनी सन्तानों को की) कि, ""ऐ मेरे बेटों! अल्लाह ने तुम्हारे लिए यही दीन (धर्म) चुना है, तो इस्लाम (ईश-आज्ञापालन) को अतिरिक्त किसी और दशा में तुम्हारी मृत्यु न हो।"" 
","और इब्राहीम इस और याकूब इसी तरह के साथ अपने बेटों का आरोप लगाया: 'मेरे बेटे, भगवान तुम्हारे लिए धर्म चुना गया है; देखो कि तुम समर्पण में बचाने के लिए नहीं मर जाते हैं.'
",1
general,"And Abraham charged his sons with this and Jacob likewise: 'My sons, God has chosen for you the religion; see that you die not save in surrender.'","और इसी की वसीयत इबराहीम ने अपने बेटों को की और याक़ूब ने भी (अपनी सन्तानों को की) कि, ""ऐ मेरे बेटों! अल्लाह ने तुम्हारे लिए यही दीन (धर्म) चुना है, तो इस्लाम (ईश-आज्ञापालन) को अतिरिक्त किसी और दशा में तुम्हारी मृत्यु न हो।"" 
","और अब्राहम ने अपने पुत्रों को यही आज्ञा दी और याकूब ने भी यही कहा: 'हे मेरे पुत्रों, परमेश्वर ने तुम्हारे लिये धर्म को चुना है; देखो कि तुम समर्पण के बिना न मरो।'
",4
